district,date,month,year,visitors
Mahabubabad ,"Sunday, September 1, 2019",September,2019,13210
Mahabubabad ,"Tuesday, October 1, 2019",October,2019,12260
Mahabubabad ,"Friday, November 1, 2019",November,2019,12470
Mahabubabad ,"Sunday, December 1, 2019",December,2019,12360
Mahbubnagar,"Tuesday, January 1, 2019",January,2019,168082
Mahbubnagar,"Friday, February 1, 2019",February,2019,798949
Mahbubnagar,"Friday, March 1, 2019",March,2019,173658
Mahbubnagar,"Monday, April 1, 2019",April,2019,183268
Mahbubnagar,"Wednesday, May 1, 2019",May,2019,175202
Mahbubnagar,"Saturday, June 1, 2019",June,2019,175853
Mahbubnagar,"Monday, July 1, 2019",July,2019,100398
Mahbubnagar,"Thursday, August 1, 2019",August,2019,104787
Mahbubnagar,"Sunday, September 1, 2019",September,2019,141387
Mahbubnagar,"Tuesday, October 1, 2019",October,2019,130227
Mahbubnagar,"Friday, November 1, 2019",November,2019,234066
Mahbubnagar,"Sunday, December 1, 2019",December,2019,148938
Mancherial,"Tuesday, January 1, 2019",January,2019,18420
Mancherial,"Friday, February 1, 2019",February,2019,26325
Mancherial,"Friday, March 1, 2019",March,2019,16253
Mancherial,"Monday, April 1, 2019",April,2019,23026
Mancherial,"Wednesday, May 1, 2019",May,2019,26616
Mancherial,"Saturday, June 1, 2019",June,2019,24593
Mancherial,"Monday, July 1, 2019",July,2019,22303
Mancherial,"Thursday, August 1, 2019",August,2019,21191
Mancherial,"Sunday, September 1, 2019",September,2019,24079
Mancherial,"Tuesday, October 1, 2019",October,2019,20867
Mancherial,"Friday, November 1, 2019",November,2019,29302
Mancherial,"Sunday, December 1, 2019",December,2019,16835
Medak ,"Tuesday, January 1, 2019",January,2019,400000
Medak ,"Friday, February 1, 2019",February,2019,600000
Medak ,"Friday, March 1, 2019",March,2019,1000000
Medak ,"Monday, April 1, 2019",April,2019,650000
Medak ,"Wednesday, May 1, 2019",May,2019,400000
Medak ,"Saturday, June 1, 2019",June,2019,300000
Medak ,"Monday, July 1, 2019",July,2019,350000
Medak ,"Thursday, August 1, 2019",August,2019,349900
Medak ,"Sunday, September 1, 2019",September,2019,350400
Medak ,"Tuesday, October 1, 2019",October,2019,350000
Medak ,"Friday, November 1, 2019",November,2019,351560
Medak ,"Sunday, December 1, 2019",December,2019,350710
Medchal ,"Tuesday, January 1, 2019",January,2019, 
Medchal ,"Friday, February 1, 2019",February,2019, 
Medchal ,"Friday, March 1, 2019",March,2019, 
Medchal ,"Monday, April 1, 2019",April,2019, 
Medchal ,"Wednesday, May 1, 2019",May,2019, 
Medchal ,"Saturday, June 1, 2019",June,2019, 
Medchal ,"Monday, July 1, 2019",July,2019, 
Medchal ,"Thursday, August 1, 2019",August,2019, 
Medchal ,"Sunday, September 1, 2019",September,2019, 
Medchal ,"Tuesday, October 1, 2019",October,2019, 
Medchal ,"Friday, November 1, 2019",November,2019, 
Medchal ,"Sunday, December 1, 2019",December,2019, 
Mulugu,"Tuesday, January 1, 2019",January,2019,0
Mulugu,"Friday, February 1, 2019",February,2019,159640
