district,date,month,year,visitors
Peddapalli,"Sunday, July 1, 2018",July,2018,0
Peddapalli,"Wednesday, August 1, 2018",August,2018,0
Peddapalli,"Saturday, September 1, 2018",September,2018,0
Peddapalli,"Monday, October 1, 2018",October,2018,0
Peddapalli,"Thursday, November 1, 2018",November,2018,0
Peddapalli,"Saturday, December 1, 2018",December,2018,0
Rajanna Sircilla ,"Monday, January 1, 2018",January,2018,0
Rajanna Sircilla ,"Thursday, February 1, 2018",February,2018,0
Rajanna Sircilla ,"Thursday, March 1, 2018",March,2018,0
Rajanna Sircilla ,"Sunday, April 1, 2018",April,2018,0
Rajanna Sircilla ,"Tuesday, May 1, 2018",May,2018,0
Rajanna Sircilla ,"Friday, June 1, 2018",June,2018,0
Rajanna Sircilla ,"Sunday, July 1, 2018",July,2018,0
Rajanna Sircilla ,"Wednesday, August 1, 2018",August,2018,0
Rajanna Sircilla ,"Saturday, September 1, 2018",September,2018,0
Rajanna Sircilla ,"Monday, October 1, 2018",October,2018,0
Rajanna Sircilla ,"Thursday, November 1, 2018",November,2018,0
Rajanna Sircilla ,"Saturday, December 1, 2018",December,2018,0
Ranga Reddy,"Monday, January 1, 2018",January,2018, 
Ranga Reddy,"Thursday, February 1, 2018",February,2018, 
Ranga Reddy,"Thursday, March 1, 2018",March,2018, 
Ranga Reddy,"Sunday, April 1, 2018",April,2018, 
Ranga Reddy,"Tuesday, May 1, 2018",May,2018, 
Ranga Reddy,"Friday, June 1, 2018",June,2018, 
Ranga Reddy,"Sunday, July 1, 2018",July,2018, 
Ranga Reddy,"Wednesday, August 1, 2018",August,2018, 
Ranga Reddy,"Saturday, September 1, 2018",September,2018, 
Ranga Reddy,"Monday, October 1, 2018",October,2018, 
Ranga Reddy,"Thursday, November 1, 2018",November,2018, 
Ranga Reddy,"Saturday, December 1, 2018",December,2018, 
Sangareddy ,"Monday, January 1, 2018",January,2018,0
Sangareddy ,"Thursday, February 1, 2018",February,2018,0
Sangareddy ,"Thursday, March 1, 2018",March,2018,0
Sangareddy ,"Sunday, April 1, 2018",April,2018,0
Sangareddy ,"Tuesday, May 1, 2018",May,2018,0
Sangareddy ,"Friday, June 1, 2018",June,2018,0
Sangareddy ,"Sunday, July 1, 2018",July,2018,0
Sangareddy ,"Wednesday, August 1, 2018",August,2018,0
